Comparision,difference,pvalue,signif.,LCL,UCL,Depth_text,psd_group,Variable
NT-CC - ST-CC,0.003161296367734597,0,***,0.0020248730167563315,0.004297719718712863,20 - 25 cm,0.2-10,ln.r_area
NT-CC - ST-NO,0.004454590072738549,0,***,0.0033181667217602835,0.005591013423716815,20 - 25 cm,0.2-10,ln.r_area
NT-NO - ST-CC,-0.005146742752745528,0,***,-0.006283166103723794,-0.004010319401767263,20 - 25 cm,0.2-10,ln.r_area
NT-NO - ST-NO,-0.0038534490477415764,0,***,-0.004989872398719842,-0.0027170256967633108,20 - 25 cm,0.2-10,ln.r_area
ST-CC - ST-NO,0.001293293705003952,0.0772,.,1.5687035402568651e-4,0.0024297170559822176,20 - 25 cm,0.2-10,ln.r_area
NT-CC - NT-NO,0.016490265909186487,0,***,0.014237199271518172,0.018743332546854802,20 - 25 cm,0.2-10,ln.r_area_porosity
NT-CC - ST-CC,0.007852221597781643,0,***,0.005599154960113328,0.010105288235449959,20 - 25 cm,0.2-10,ln.r_area_porosity
NT-CC - ST-NO,0.009046636180417289,0,***,0.0067935695427489735,0.011299702818085604,20 - 25 cm,0.2-10,ln.r_area_porosity
NT-NO - ST-CC,-0.008638044311404844,0,***,-0.01089111094907316,-0.006384977673736528,20 - 25 cm,0.2-10,ln.r_area_porosity
NT-NO - ST-NO,-0.007443629728769198,0,***,-0.009696696366437513,-0.0051905630911008825,20 - 25 cm,0.2-10,ln.r_area_porosity
ST-CC - ST-NO,0.0011944145826356459,0.6773, ,-0.0010586520550326696,0.0034474812203039613,20 - 25 cm,0.2-10,ln.r_area_porosity
NT-CC - NT-NO,0.002115626142040798,0,***,0.001319614814178208,0.0029116374699033887,20 - 25 cm,0.2-10,Sr.diff
NT-CC - ST-CC,8.030348382126766e-4,0.1442, ,7.023510350086292e-6,0.0015990461660752668,20 - 25 cm,0.2-10,Sr.diff
NT-CC - ST-NO,0.001137201633629287,0.014,*,3.411903057666968e-4,0.0019332129614918773,20 - 25 cm,0.2-10,Sr.diff
NT-NO - ST-CC,-0.0013125913038281216,0.0029,**,-0.002108602631690712,-5.165799759655313e-4,20 - 25 cm,0.2-10,Sr.diff
NT-NO - ST-NO,-9.784245084115111e-4,0.0472,*,-0.0017744358362741014,-1.8241318054892084e-4,20 - 25 cm,0.2-10,Sr.diff
ST-CC - ST-NO,3.341667954166105e-4,0.8116, ,-4.6184453244597977e-4,0.0011301781232792008,20 - 25 cm,0.2-10,Sr.diff
NT-CC - NT-NO,-1.081503657463772e-4,0.9915, ,-8.980259601833123e-4,6.817252286905579e-4,20 - 25 cm,10-50,ln.r_area
NT-CC - ST-CC,-8.863331267668726e-4,0.0841,.,-0.0016762087212038078,-9.64575323299375e-5,20 - 25 cm,10-50,ln.r_area
NT-CC - ST-NO,-2.7478810957982935e-4,0.8822, ,-0.0010646637040167646,5.150874848571058e-4,20 - 25 cm,10-50,ln.r_area
NT-NO - ST-CC,-7.781827610204954e-4,0.1601, ,-0.0015680583554574306,1.1692833416439698e-5,20 - 25 cm,10-50,ln.r_area
NT-NO - ST-NO,-1.6663774383345216e-4,0.9702, ,-9.565133382703873e-4,6.23237850603483e-4,20 - 25 cm,10-50,ln.r_area
ST-CC - ST-NO,6.115450171870433e-4,0.3581, ,-1.7833057724989186e-4,0.0014014206116239785,20 - 25 cm,10-50,ln.r_area
NT-CC - NT-NO,-0.0013995826873375548,0.333, ,-0.003157699193552325,3.5853381887721524e-4,20 - 25 cm,10-50,ln.r_area_porosity
NT-CC - ST-CC,-0.0016722550821025618,0.1852, ,-0.003430371588317332,8.586142411220825e-5,20 - 25 cm,10-50,ln.r_area_porosity
NT-CC - ST-NO,-0.0013555221046104883,0.3619, ,-0.0031136386108252586,4.025944016042818e-4,20 - 25 cm,10-50,ln.r_area_porosity
NT-NO - ST-CC,-2.72672394765007e-4,0.9877, ,-0.0020307889009797773,0.001485444111449763,20 - 25 cm,10-50,ln.r_area_porosity
NT-NO - ST-NO,4.406058272706653e-5,0.9999, ,-0.0017140559234877035,0.0018021770889418366,20 - 25 cm,10-50,ln.r_area_porosity
ST-CC - ST-NO,3.167329774920735e-4,0.9811, ,-0.0014413835287226966,0.002074849483706844,20 - 25 cm,10-50,ln.r_area_porosity
NT-CC - NT-NO,-6.619156741009824e-5,0.9963, ,-7.096215973885975e-4,5.77238462568401e-4,20 - 25 cm,10-50,Sr.diff
NT-CC - ST-CC,-6.10077354139156e-4,0.1875, ,-0.0012535073841176553,3.3352675839343204e-5,20 - 25 cm,10-50,Sr.diff
NT-CC - ST-NO,-1.8476762041276518e-4,0.9294, ,-8.281976503912644e-4,4.5866240956573406e-4,20 - 25 cm,10-50,Sr.diff
NT-NO - ST-CC,-5.438857867290578e-4,0.2802, ,-0.001187315816707557,9.954424324944144e-5,20 - 25 cm,10-50,Sr.diff
NT-NO - ST-NO,-1.1857605300266694e-4,0.9798, ,-7.620060829811662e-4,5.248539769758323e-4,20 - 25 cm,10-50,Sr.diff
ST-CC - ST-NO,4.2530973372639086e-4,0.5004, ,-2.1812029625210838e-4,0.00106873976370489,20 - 25 cm,10-50,Sr.diff
NT-CC - NT-NO,-0.004292886844044863,0,***,-0.004937510120438774,-0.0036482635676509515,20 - 25 cm,50-1000,ln.r_area
NT-CC - ST-CC,-0.0018733532162076242,0,***,-0.0025179764926015354,-0.001228729939813713,20 - 25 cm,50-1000,ln.r_area
NT-CC - ST-NO,-0.0010316330128310111,0.0043,**,-0.0016762562892249223,-3.870097364370998e-4,20 - 25 cm,50-1000,ln.r_area
