pF,VWC,Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
1.83,33.15,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.85,33.01,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.87,32.86,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.89,32.69,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.91,32.51,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.93,32.3,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.95,32.06,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.97,31.8,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
1.99,31.51,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.01,31.2,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.03,30.89,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.05,30.59,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.07,30.31,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.09,30.06,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.11,29.82,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.13,29.62,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.15,29.43,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.17,29.25,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.19,29.09,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.21,28.93,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.23,28.78,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.251,28.64,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.271,28.49,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.291,28.35,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.311,28.21,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.331,28.08,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.351,27.94,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.371,27.8,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.391,27.66,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.411,27.53,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.431,27.39,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.451,27.25,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.471,27.12,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.491,26.98,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
2.511,26.85,13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
