Layer_Number,Variable,Trt,mean,std,r,LCL,UCL,Min,Max,Q25,Q50,Q75,groups,stder,Layer,Depth_Top,Depth_Bottom,Depth_Range,Layer_Name,Layer_Number_Text
1,wv.diff,NT-NO,0.36603180816335135,0.08593018477165655,4,0.30361860502270566,0.42844501130399704,0.2583811730442498,0.44288301448041034,0.316369571291158,0.3814315225643726,0.43109375943656597,b,0.042965092385828275,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,wv.diff,ST-CC,0.41945187008077,0.07477071186200959,4,0.3570386669401243,0.4818650732214157,0.3194888116881751,0.4928891046247159,0.3873507110343026,0.4327147820050945,0.46481594105156193,ab,0.037385355931004796,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
1,wv.diff,ST-NO,0.3600880587454133,0.0765181609384472,4,0.2976748556047676,0.42250126188605897,0.27901236937097695,0.4412128700158655,0.304580316247314,0.3600634977974053,0.4155712402955046,b,0.0382590804692236,Layer_1,0,10,0 - 10 cm,Top,Top (0-10 cm)
2,hMean,NT-CC,-2132.43575,373.08988939161827,4,-2333.203829132422,-1931.667670867578,-2531.256,-1673.775,-2368.78125,-2162.3559999999998,-1926.0104999999999,a,186.54494469580914,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,hMean,NT-NO,-2239.2555,207.2403246483013,4,-2440.023579132422,-2038.487420867578,-2434.016,-1962.4,-2374.08725,-2280.303,-2145.47125,a,103.62016232415066,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,hMean,ST-CC,-2208.1915,158.32251177159446,4,-2408.959579132422,-2007.4234208675778,-2392.731,-2026.178,-2300.84625,-2206.9285,-2114.2737500000003,a,79.16125588579723,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,hMean,ST-NO,-2222.40325,255.8304632621311,4,-2423.1713291324218,-2021.6351708675777,-2475.596,-1934.218,-2415.7107499999997,-2239.8995,-2046.592,a,127.91523163106555,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th,NT-CC,0.2087406814429379,0.014652275314228172,4,0.1926779264538908,0.22480343643198497,0.1903137039075399,0.22526642317506376,0.2019612748286386,0.20969129934457398,0.21647070595887327,a,0.007326137657114086,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th,NT-NO,0.19745334467403813,0.029709312175626605,4,0.18139058968499105,0.2135160996630852,0.15433031470455796,0.21791164256766896,0.18953569820383248,0.20878571071196278,0.2167033571821684,ab,0.014854656087813303,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
2,th,ST-CC,0.20997148146295092,0.02033335857890631,4,0.19390872647390384,0.226034236451998,0.18912292990443788,0.2322909891429429,0.1949242007304748,0.20923600340221143,0.22428328413468754,a,0.010166679289453156,Layer_2,10,20,10 - 20 cm,Top,Top (10-20 cm)
