pF,logK_cmd,manual,Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
2.452,-2.38,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.478,-2.43,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.503,-2.49,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.527,-2.58,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.549,-2.63,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.571,-2.7,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.59,-2.79,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.609,-2.82,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.629,-2.84,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.65,-2.82,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.672,-2.86,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.697,-2.89,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.725,-2.98,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.752,-3.1,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.779,-3.21,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.804,-3.3,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.83,-3.42,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
2.856,-3.48,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
3.432,-4.76,NA,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
-1,1.93,1,16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
1.699,-0.41,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
1.728,-0.49,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
1.757,-0.53,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
1.788,-0.63,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
1.82,-0.72,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
1.851,-0.82,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
1.881,-0.92,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
1.909,-0.98,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
1.938,-1.06,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
1.968,-1.15,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
1.997,-1.25,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.027,-1.33,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.056,-1.42,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.084,-1.51,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.113,-1.58,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.142,-1.68,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.171,-1.76,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.199,-1.84,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
2.226,-1.91,NA,16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
