Trt,mean,std,r,Min,Max,Q25,Q50,Q75,groups,stder,Depth_text,psd_group,Variable
NT-NO,0.04255801795987218,0.010810479752742306,172,0.02862312136230003,0.05620016021372348,0.03431150544869234,0.0427043951317326,0.05095090764291244,c,8.242913534513857e-4,20 - 25 cm,0.2-10,ln.r_area_porosity
ST-CC,0.05119606227127702,0.012137069721693672,172,0.037319219349803416,0.06584050354249571,0.040353843135299605,0.050812263096404485,0.0616544822323819,b,9.254428902927145e-4,20 - 25 cm,0.2-10,ln.r_area_porosity
ST-NO,0.050001647688641376,0.007210684201325154,172,0.04320620607730604,0.062042936060003155,0.045616885333322914,0.04737872430862816,0.051763486663946624,b,5.498095159109927e-4,20 - 25 cm,0.2-10,ln.r_area_porosity
NT-CC,0.006908004516370085,0.0026333441776115922,172,0.001562562618708685,0.011796894740477515,0.005162573795008868,0.006715962046648427,0.009115529398266015,a,2.007906111397282e-4,20 - 25 cm,0.2-10,Sr.diff
NT-NO,0.004792378374329287,0.0030279894584010394,172,7.662618457484616e-4,0.01175949668108689,0.0023651260698297205,0.004121967620614564,0.006585758752617438,c,2.3088203169417822e-4,20 - 25 cm,0.2-10,Sr.diff
ST-CC,0.006104969678157409,0.004589531564207506,172,-1.327063094798131e-4,0.014133665521956829,0.0018254987762301167,0.005555725284181079,0.009091717850565145,b,3.499485010190038e-4,20 - 25 cm,0.2-10,Sr.diff
ST-NO,0.005770802882740798,0.0034148478850719068,172,2.531715497676723e-4,0.011095229227160663,0.002507314209008432,0.006034625188292231,0.008804168054775047,b,2.6037971018839223e-4,20 - 25 cm,0.2-10,Sr.diff
NT-CC,0.012210312488127083,0.002797550316862271,68,0.00774031987150568,0.015300611208811436,0.011291020377949046,0.012900159436095609,0.013819451546273644,b,3.3925280733539115e-4,20 - 25 cm,10-50,ln.r_area
NT-NO,0.01231846285387346,0.0026840494069215403,68,0.008766486179293403,0.015601619424725507,0.010350064849852033,0.012452872905737464,0.014421270909758891,ab,3.254888002680573e-4,20 - 25 cm,10-50,ln.r_area
ST-CC,0.013096645614893956,0.0017580775843083413,68,0.01085523719721503,0.0150906663652733,0.011687686534156957,0.013220339448543745,0.014629298529280743,a,2.1319822288629498e-4,20 - 25 cm,10-50,ln.r_area
ST-NO,0.012485100597706912,8.90967370645171e-4,68,0.011645053561141781,0.013929553900424533,0.011840442864364623,0.012182897464630667,0.012827555197972957,ab,1.0804566406320235e-4,20 - 25 cm,10-50,ln.r_area
NT-CC,0.02687960683919223,0.00630859830754693,68,0.016826782329360173,0.03400135824180319,0.024997674271390324,0.028345143392802776,0.030227075960604685,a,7.650299168120235e-4,20 - 25 cm,10-50,ln.r_area_porosity
NT-NO,0.028279189526529785,0.005856711082697731,68,0.019923832225666824,0.0346702653882789,0.024405823068389756,0.029261330246086705,0.03313469670422674,a,7.102305415496563e-4,20 - 25 cm,10-50,ln.r_area_porosity
ST-CC,0.028551861921294792,0.0027833955810717594,68,0.02412274932714451,0.031438888260986037,0.027397061700484223,0.02932290504852431,0.030477705269334878,a,3.3753629348930316e-4,20 - 25 cm,10-50,ln.r_area_porosity
ST-NO,0.028235128943802718,0.003444300989435029,68,0.02477670970455698,0.033165604524820314,0.025192431626307705,0.027499100772916788,0.0305417980904118,a,4.1768284664294244e-4,20 - 25 cm,10-50,ln.r_area_porosity
NT-CC,0.008276556561335796,0.002042226561127661,68,0.004986110928857479,0.011670018956650652,0.006570066633596078,0.008770786594519409,0.009638640885475919,a,2.4765634773444905e-4,20 - 25 cm,10-50,Sr.diff
NT-NO,0.008342748128745895,0.002039337431428561,68,0.005564302149444811,0.011683170427080447,0.006606602563604541,0.007630247539791635,0.010421974206904133,a,2.473059892957579e-4,20 - 25 cm,10-50,Sr.diff
ST-CC,0.008886633915474952,0.0016995549591541604,68,0.006531982880299103,0.012643227159025328,0.0076058244373396755,0.008442605080710708,0.009964071709622713,a,2.0610131215102683e-4,20 - 25 cm,10-50,Sr.diff
ST-NO,0.008461324181748562,0.00115471024375424,68,0.00626080619111169,0.011121851741047739,0.007603844424270617,0.008419397859846911,0.009062265729381347,a,1.400291853523955e-4,20 - 25 cm,10-50,Sr.diff
NT-CC,0.013507313799895693,0.002126725490861136,132,0.010078233603755132,0.01527016176277499,0.012583334277915841,0.014340429916526325,0.015264409438506179,d,1.851076941551687e-4,20 - 25 cm,50-1000,ln.r_area
NT-NO,0.017800200643940556,0.004192792737025001,132,0.013605121170363312,0.02221327877194792,0.013637620444929938,0.017691201316725497,0.021853781515736116,a,3.649357657846934e-4,20 - 25 cm,50-1000,ln.r_area
ST-CC,0.015380667016103317,0.0013328600878054929,132,0.01421594297483473,0.017556794299115244,0.014354987614998023,0.01487496539523165,0.015900644796336946,b,1.160105799010429e-4,20 - 25 cm,50-1000,ln.r_area
ST-NO,0.014538946812726704,8.198743540314813e-4,132,0.013559257842615823,0.015643098263444268,0.013879269984835777,0.014476715572423363,0.015136392400314289,c,7.13609028639961e-5,20 - 25 cm,50-1000,ln.r_area
NT-CC,0.029647501031653974,0.004423548106306459,132,0.022396074675011403,0.03319600383211954,0.027962965062035196,0.03149896280974247,0.033183498779361255,c,3.850204426765472e-4,20 - 25 cm,50-1000,ln.r_area_porosity
NT-NO,0.04106345281514472,0.010203272581896286,132,0.03032989674767144,0.05288875898082837,0.03131233669336549,0.040517577766039536,0.05026869388781876,a,8.880808870667732e-4,20 - 25 cm,50-1000,ln.r_area_porosity
ST-CC,0.03371040104900655,0.003363599129257884,132,0.03000278297580372,0.039015098442478316,0.03148287537219704,0.03291186138887209,0.03513938706568159,b,2.9276372599791936e-4,20 - 25 cm,50-1000,ln.r_area_porosity
ST-NO,0.03267817954971771,6.350475592440312e-4,132,0.03184572435305879,0.03329985880692641,0.03217439152150724,0.03278356751944282,0.0332873555476533,b,5.527379526679405e-5,20 - 25 cm,50-1000,ln.r_area_porosity
NT-CC,0.004603878698462895,0.0014991696367966099,132,0.0019226228708109638,0.008263342676753549,0.003485307481524022,0.004978815196300002,0.005384731416194041,c,1.3048596812675436e-4,20 - 25 cm,50-1000,Sr.diff
NT-NO,0.006055473548158587,0.001680300782949665,132,0.003137700292498158,0.008413856158761557,0.004327295485193547,0.006688281392878748,0.007592177407050149,a,1.4625141079820073e-4,20 - 25 cm,50-1000,Sr.diff
ST-CC,0.0052433471209585684,9.631849792853788e-4,132,0.0038705276148863765,0.007559317827285028,0.004246966246849823,0.005385010204122048,0.005971652280413242,b,8.383449172286805e-5,20 - 25 cm,50-1000,Sr.diff
ST-NO,0.004960965426444472,8.050495380366436e-4,132,0.003709454434697612,0.006964675849029156,0.004301176635048656,0.005030884822661563,0.005363601355798553,b,7.007056825481816e-5,20 - 25 cm,50-1000,Sr.diff
