Layer_Number,Variable,Comparision,difference,pvalue,signif.,LCL,UCL,Layer,Depth_Top,Depth_Bottom,Depth_Range,Layer_Name,Layer_Number_Text
4,VolumeW,NT-CC - ST-CC,-0.015522519141061064,0.6533, ,-0.06734761513203505,0.036302576849912914,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,VolumeW,NT-CC - ST-NO,-0.04018171094110157,0.2561, ,-0.09200680693207555,0.011643385049872411,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,VolumeW,NT-NO - ST-CC,0.00979981825519527,0.7762, ,-0.04202527773577871,0.06162491424616925,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,VolumeW,NT-NO - ST-NO,-0.014859373544845234,0.6671, ,-0.06668446953581922,0.036965722446128745,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,VolumeW,ST-CC - ST-NO,-0.024659191800040503,0.4783, ,-0.07648428779101449,0.027165904190933475,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,wv.diff,NT-CC - NT-NO,-0.007196357766346362,0.7654, ,-0.04344786797441512,0.029055152441722396,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,wv.diff,NT-CC - ST-CC,-0.005550774249809709,0.8178, ,-0.041802284457878466,0.03070073595825905,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,wv.diff,NT-CC - ST-NO,-0.023578510087688076,0.3369, ,-0.05983002029575683,0.012673000120380681,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,wv.diff,NT-NO - ST-CC,0.0016455835165366528,0.9455, ,-0.034605926691532105,0.03789709372460541,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,wv.diff,NT-NO - ST-NO,-0.016382152321341714,0.5003, ,-0.05263366252941047,0.019869357886727043,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
4,wv.diff,ST-CC - ST-NO,-0.018027735837878367,0.4592, ,-0.054279246045947124,0.01822377437019039,Layer_4,30,40,30 - 40 cm,Subsurface,Subsurface (30-40 cm)
5,hMean,NT-CC - NT-NO,-105.48824999999988,0.5296, ,-356.0927774649517,145.116277464952,Layer_5,40,60,40 - 60 cm,Bottom1,Bottom (40-60 cm)
5,hMean,NT-CC - ST-CC,-91.58174999999983,0.5844, ,-342.1862774649517,159.02277746495204,Layer_5,40,60,40 - 60 cm,Bottom1,Bottom (40-60 cm)
